,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,rank
AMPH,506.0502146,-0.328856545,0.131090649,-2.508619393,0.0121204,0.055188542,-1.92E+00
ATP6V0D1,422.9056696,-0.329225067,0.140163108,-2.348871055,0.018830427,0.067824587,-1.73E+00
PARK7,922.9138365,-0.332168252,0.129339642,-2.568185966,0.010223229,0.053091315,-1.99E+00
GUCY1B3,506.1482034,-0.333667373,0.130932421,-2.548393822,0.010822022,0.053348046,-1.97E+00
ITPR1,451.5332089,-0.335066197,0.190913884,-1.755064585,0.079248261,0.154928473,-1.10E+00
PRNP,2362.294139,-0.337338507,0.167229888,-2.017214217,0.043673163,0.108525179,-1.36E+00
IGF1R,113.4486963,-0.338965919,0.129762578,-2.612200869,0.008996138,0.050147391,-2.05E+00
HCN1,181.4974485,-0.340886126,0.170366625,-2.00089733,0.045403455,0.110847201,-1.34E+00
SUCLA2,306.8539747,-0.342806483,0.138848306,-2.468928095,0.013551845,0.05754787,-1.87E+00
CAMK2G,472.0954462,-0.342838667,0.15662282,-2.188944546,0.028600871,0.08367276,-1.54E+00
LSM7,119.7670862,-0.343437255,0.152065867,-2.25847695,0.02391594,0.075596362,-1.62E+00
NDUSF2,303.4306337,-0.34431729,0.201457035,-1.709135108,0.087425926,0.163750997,-1.06E+00
L1CAM,307.5281709,-0.345364259,0.130006279,-2.656519835,0.007895181,0.047893559,-2.10E+00
KIF3A,283.6901712,-0.348213435,0.169756637,-2.051250783,0.040242531,0.103734908,-1.40E+00
TAF4B,15.53316421,-0.348602195,0.202685191,-1.71991941,0.085447092,0.161169226,-1.07E+00
GNAO1,314.7286264,-0.353056694,0.138575051,-2.547765203,0.010841541,0.053348046,-1.96E+00
PPP3CA,303.8047537,-0.355331397,0.162824508,-2.18229676,0.029087638,0.08449754,-1.54E+00
CACNA1B,76.44098391,-0.3579454,0.152700617,-2.344099237,0.019073096,0.067824587,-1.72E+00
DNAJA2,256.0399033,-0.360175422,0.131889946,-2.730878538,0.006316575,0.043756699,-2.20E+00
MAOB,264.7540801,-0.360272022,0.18846643,-1.911597843,0.055927796,0.124367741,-1.25E+00
MAPK9,588.1550908,-0.360372058,0.157373459,-2.289916358,0.022026166,0.073471281,-1.66E+00
MYH10,223.5378878,-0.36038937,0.180867545,-1.992559633,0.046309689,0.112369099,-1.33E+00
ATP6V0C,1482.575248,-0.361002514,0.11825993,-3.052619048,0.002268537,0.037921861,-2.64E+00
